2017 ACS PUMS Code List - Field of Degree,,,,,,
,,,,,,
2017 PUMS code,2017 PUMS Field of Degree Description,2017 Internal Field of Degree Code,2017 Internal Corresponding Detailed Field of Degree,,,
5102,"Nuclear, Industrial Radiology, And Biological Technologies",5101,Applied Biotechnology,,,
,,5102,Nuclear and Industrial Radiology Technologies,,,
5200,Psychology,5200,Psychology ,,,
5201,Educational Psychology,5201,Educational Psychology,,,
5202,Clinical Psychology,5202,Clinical Psychology,,,
5203,Counseling Psychology,5203,Counseling Psychology,,,
5205,Industrial And Organizational Psychology,5205,Industrial and Organizational Psychology,,,
5206,Social Psychology,5206,Social Psychology,,,
5299,Miscellaneous Psychology,5204,Experimental Psychology,,,
,,5299,Miscellaneous Psychology,,,
5301,Criminal Justice And Fire Protection,5301,Criminal Justice and Fire Protection,,,
5401,Public Administration,5401,Public Administration,,,
5402,Public Policy,5402,Public Policy,,,
5403,Human Services And Community Organization,5403,Human Services and Community Organization,,,
5404,Social Work,5404,Social Work,,,
5500,General Social Sciences,5500,General Social Sciences ,,,
5501,Economics,5501,Economics,,,
5502,Anthropology And Archeology,5502,Anthropology and Archeology,,,
5503,Criminology,5503,Criminology,,,
5504,Geography,5504,Geography,,,
5505,International Relations,5505,International Relations,,,
5506,Political Science And Government,5506,Political Science and Government,,,
5507,Sociology,5507,Sociology,,,
5599,Miscellaneous Social Sciences,5599,Miscellaneous Social Sciences,,,
,,6401,History and Philosophy of Science and Technology,,,
5601,Construction Services,5601,Construction Services,,,
5701,"Electrical, Mechanical, And Precision Technologies And Production",5701,Electrical and Mechanic Repairs and Technologies,,,
,,5801,Precision Production,,,
5901,Transportation Sciences And Technologies,5901,Transportation Sciences and Technologies ,,,
6000,Fine Arts,6000,Fine Arts,,,
6001,Drama And Theater Arts,6001,Drama and Theater Arts,,,
6002,Music,6002,Music,,,
6003,Visual And Performing Arts,6003,Visual and Performing Arts,,,
6004,Commercial Art And Graphic Design,6004,Commercial Art and Graphic Design,,,
6005,Film Video And Photographic Arts,6005,"Film, Video and Photographic Arts",,,
6006,Art History And Criticism,6006,Art History and Criticism,,,
6007,Studio Arts,6007,Studio Arts,,,
6099,Miscellaneous Fine Arts,6008,Video Game Design and Development,,,
,,6099,Miscellaneous Fine Arts,,,
6100,General Medical And Health Services,6100,General Medical and Health Services,,,
6102,Communication Disorders Sciences And Services,6102,Communication Disorders Sciences and Services,,,
6103,Health And Medical Administrative Services,6103,Health and Medical Administrative Services,,,
6104,Medical Assisting Services,6104,Medical Assisting Services,,,
6105,Medical Technologies Technicians,6105,Medical Technologies Technicians,,,
6106,Health And Medical Preparatory Programs,6106,Health and Medical Preparatory Programs,,,
6107,Nursing,6107,Nursing,,,
6108,Pharmacy Pharmaceutical Sciences And Administration,6108,"Pharmacy, Pharmaceutical Sciences, and Administration",,,
6109,Treatment Therapy Professions,6109,Treatment Therapy Professions,,,
6110,Community And Public Health,6110,Community and Public Health,,,
6199,Miscellaneous Health Medical Professions,6111,Energy and Biologically Based Therapies,,,
,,6199,Miscellaneous Health Medical Professions,,,
6200,General Business,6200,General Business,,,
6201,Accounting,6201,Accounting,,,
6202,Actuarial Science,6202,Actuarial Science,,,
6203,Business Management And Administration,6203,Business Management and Administration,,,
6204,Operations Logistics And E-Commerce,6204,"Operations, Logistics and E-Commerce",,,
6205,Business Economics,6205,Business Economics,,,
6206,Marketing And Marketing Research,6206,Marketing,,,
,,6208,Marketing Research,,,
6207,Finance,6207,Finance,,,
6209,Human Resources And Personnel Management,6209,Human Resources and Personnel Management,,,
6210,International Business,6210,International Business,,,
6211,Hospitality Management,6211,Hospitality Management,,,
6212,Management Information Systems And Statistics,6212,Management Information Systems and Statistics,,,
6299,Miscellaneous Business & Medical Administration,6101,Medical Office Assistance and Administration,,,
,,6299,Miscellaneous Business,,,
6402,History,6402,History ,,,
6403,United States History,6403,United States History,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
